target_index,pixel_scale,FWHM,R_E,r_s_eff,N_pix_expected,A_expected,max_snr_expected,IC_joint_expected,N_pix,A,max_snr,IC_joint
85,0.1,0.4,0.6004434085625744,0.135022185551733,102,1.0200000000000002,16.102507409304792,28.349613168717383,160,1.6000000000000003,15.825284580407532,44.469981441125306
86,0.1,0.4,0.4867430569426348,0.5399630739152765,175,1.7500000000000004,8.782031613597526,9.85947455019007,251,2.5100000000000007,10.575248096921362,14.141303497701188
87,0.1,0.4,0.8904671367288722,0.5630187569425642,0,0.0,0.46797239564129245,0.0,39,0.39000000000000007,3.166698493489083,3.8551355865361496
88,0.1,0.4,0.4804459375107066,0.5161225114815227,8,0.08000000000000002,2.312822062776814,0.46543788230781974,70,0.7000000000000002,4.391691360153916,4.072581470193422
89,0.1,0.4,0.4504843069958649,0.3068201143696858,48,0.4800000000000001,3.654355639270614,4.404707702309363,106,1.0600000000000003,5.578433589845249,9.727062842599842
90,0.1,0.4,0.7349911036096731,0.1106326592735007,0,0.0,1.3274272443159065,0.0,60,0.6000000000000001,3.349442436142288,24.91322776326373
91,0.1,0.4,0.7443529133836975,0.1847445144862198,30,0.30000000000000004,3.9185376401655816,7.554550220209845,89,0.8900000000000001,5.357836166038325,22.411832319955874
92,0.1,0.4,0.9879990938946897,0.240730160948261,0,0.0,1.833316228599786,0.0,49,0.4900000000000001,3.9062402448366575,12.569040842799904
93,0.1,0.4,0.9120970178477436,0.5738030896263212,0,0.0,0.9098513934203467,0.0,46,0.4600000000000001,3.158204058907001,4.5699979204015335
94,0.1,0.4,0.6317477227099709,0.6054240952255023,35,0.3500000000000001,3.1630178404046188,2.2826117333723346,90,0.9000000000000001,5.010405315893571,5.869573028671718
95,0.1,0.4,0.5670183557973763,0.2411565806466248,5,0.05000000000000001,2.1356215642249703,0.7347642586056051,84,0.8400000000000002,3.9379626496173956,12.344039544574166
96,0.1,0.4,0.406317001754352,0.4260276850522628,31,0.31000000000000005,3.183444037147724,1.847859231970999,88,0.8800000000000001,5.169167876534708,5.245535884304771
97,0.1,0.4,0.8958969435358858,0.3405518755236538,22,0.22000000000000003,4.995785788382964,3.6172412660117077,69,0.6900000000000002,6.049417300868013,11.344983970673082
98,0.1,0.4,0.7135482154066378,0.4402965685397705,302,3.0200000000000005,8.458464754283028,30.588979174803065,343,3.4300000000000006,10.006880654454628,34.741787605819376
99,0.1,0.4,1.326094101456049,0.2857664010912347,0,0.0,1.2330933806166366,0.0,40,0.4000000000000001,3.154871285383124,11.601207283223228
100,0.1,0.4,0.791440883933582,0.3908824294550621,0,0.0,1.7895040657958086,0.0,61,0.6100000000000001,3.3930030672925913,7.719375808739631
101,0.1,0.4,0.6882548756301002,0.4827214296180666,67,0.6700000000000002,2.7127045519842525,5.970456488706875,175,1.7500000000000004,3.8814334031497952,15.594475903338854
